Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
118,"H Bagheri, M Noor-A-Rahim, Z Liu…","5G NR-V2X: Toward connected and cooperative autonomous driving",2021,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9392787/","https://scholar.google.com/scholar?cites=2893811798963874608&as_sdt=2005&sciodt=2007&hl=en",160,"2023-12-15 19:02:41","","","","",,,,,118,59.00,30,4,2,"… Remote Driving: A remote driver or a cloudbased V2X … remote driving/teleoperated applications are for incapacitated persons, public transportation, remote parking, logistics, or driving …","https://ieeexplore.ieee.org/iel7/7886829/9392774/09392787.pdf","https://scholar.google.com/scholar?q=related:MGsTxH_iKCgJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
95,"QP Ha, L Yen, C Balaguer","Robotic autonomous systems for earthmoving in military applications",2019,"Automation in Construction","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580518309932","https://scholar.google.com/scholar?cites=3092357125911813795&as_sdt=2005&sciodt=2007&hl=en",197,"2023-12-15 19:02:41","HTML","","","",,,,,95,23.75,32,3,4,"… The teleoperated SEE features teleoperated driving, a tele-robotic backhoe … a teleoperated front loader with two degrees-of-freedom on the bucket. Remote capabilities include driving (…","https://www.sciencedirect.com/science/article/pii/S0926580518309932","https://scholar.google.com/scholar?q=related:ox6fCGxC6ioJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
70,"T Klamt, M Schwarz, C Lenz…","Remote mobile manipulation with the centauro robot: Full‐body telepresence and autonomous operator assistance",2020,"Journal of Field …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.21895","https://scholar.google.com/scholar?cites=15509946987007914089&as_sdt=2005&sciodt=2007&hl=en",142,"2023-12-15 19:02:41","","10.1002/rob.21895","","",,,,,70,23.33,18,4,3,"… teleoperating such hybrid driving-stepping locomotion is very complex and puts a high cognitive load on the teleoperator, … generates and executes hybrid driving-stepping locomotion …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/rob.21895","https://scholar.google.com/scholar?q=related:aTC_BZxmPtcJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
44,"BY Altman","Device, System, and Method of Autonomous Driving and Tele-Operated Vehicles",2021,"US Patent App. 16/981,313","Google Patents","https://patents.google.com/patent/US20210116907A1/en","https://scholar.google.com/scholar?cites=1909898845448659311&as_sdt=2005&sciodt=2007&hl=en",10,"2023-12-15 19:02:41","","","","",,,,,44,22.00,44,1,2,"… Still, it may be enough for the remote teleoperator to take over the vehicle dynamic driving at … be graphically presented to the teleoperator so he may feel as if he is the driver, at least to …","https://patentimages.storage.googleapis.com/30/05/30/4f9d818dc37d0d/US20210116907A1.pdf","https://scholar.google.com/scholar?q=related:b2Hlf-FSgRoJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
44,"C Mutzenich, S Durant…","Updating our understanding of situation awareness in relation to remote operators of autonomous vehicles",2021,"Cognitive …","cognitiveresearchjournal …","https://cognitiveresearchjournal.springeropen.com/articles/10.1186/s41235-021-00271-8","https://scholar.google.com/scholar?cites=18230995810100301671&as_sdt=2005&sciodt=2007&hl=en",65,"2023-12-15 19:02:41","HTML","10.1186/s41235-021-00271-8","","",,,,,44,22.00,15,3,2,"… This has led to debate in the industry as to whether remote management or teleoperated driving is even a genuine possibility as any latency will have detrimental safety effects on the …","https://cognitiveresearchjournal.springeropen.com/articles/10.1186/s41235-021-00271-8","https://scholar.google.com/scholar?q=related:Z8-p6hiCAf0J:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
18,"Q Zhu, T Zhou, J Du","Upper-body haptic system for snake robot teleoperation in pipelines",2022,"Advanced Engineering Informatics","Elsevier","https://www.sciencedirect.com/science/article/pii/S1474034622000088","https://scholar.google.com/scholar?cites=12892723000545400426&as_sdt=2005&sciodt=2007&hl=en",126,"2023-12-15 19:02:41","HTML","","","",,,,,18,18.00,6,3,1,"… , remote mobile robots in combination with teleoperation are becoming increasingly prevalent. Teleoperation … and manipulation capability in the remote workspace, represent a clear …","https://www.sciencedirect.com/science/article/pii/S1474034622000088","https://scholar.google.com/scholar?q=related:alYEq0In7LIJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
52,"T Zhang","Toward automated vehicle teleoperation: Vision, opportunities, and challenges",2020,"IEEE Internet of Things Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9214882/","https://scholar.google.com/scholar?cites=808735924999403091&as_sdt=2005&sciodt=2007&hl=en",4,"2023-12-15 19:02:41","","","","",,,,,52,17.33,52,1,3,"… teleoperation, which we refer to as cloud-based driving or … to a human teleoperator to show the car’s driving environment, the … ’s surroundings and drive it remotely without assistance of …","https://ieeexplore.ieee.org/iel7/6488907/6702522/09214882.pdf","https://scholar.google.com/scholar?q=related:U7av9gk1OQsJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
17,"D Bogdoll, S Orf, L Töttel, JM Zöllner","Taxonomy and survey on remote human input systems for driving automation systems",2022,"Future of Information and …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-98015-3_6","https://scholar.google.com/scholar?cites=3523378957360855&as_sdt=2005&sciodt=2007&hl=en",9,"2023-12-15 19:02:41","","10.1007/978-3-030-98015-3_6","","",,,,,17,17.00,4,4,1,"… teleoperated driving, remote driving and remote control interchangeably and also refer to the broader term remote … the terms teleoperated driving, teleoperation and remote operation …","https://arxiv.org/pdf/2109.08599","https://scholar.google.com/scholar?q=related:154pl36EDAAJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
66,"S Neumeier, P Wintersberger, AK Frison…","Teleoperation: The holy grail to solve problems of automated driving? Sure, but latency matters",2019,"Proceedings of the 11th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3342197.3344534","https://scholar.google.com/scholar?cites=15827936659930563144&as_sdt=2005&sciodt=2007&hl=en",12,"2023-12-15 19:02:41","","10.1145/3342197.3344534","","",,,,,66,16.50,17,4,4,"… / by a teleoperated driver.”), as well as their confidence to remotely control a vehicle with, … I feel confident to be able to drive a vehicle with/without passengers teleoperated.”). To analyze …","https://dl.acm.org/doi/pdf/10.1145/3342197.3344534","https://scholar.google.com/scholar?q=related:SEKLPoggqNsJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
33,"C Kettwich, A Schrank, M Oehl","Teleoperation of highly automated vehicles in public transport: User-centered design of a human-machine interface for remote-operation and its expert usability …",2021,"Multimodal Technologies and Interaction","mdpi.com","https://www.mdpi.com/2414-4088/5/5/26","https://scholar.google.com/scholar?cites=13468603153872267538&as_sdt=2005&sciodt=2007&hl=en",34,"2023-12-15 19:02:41","","","","",,,,,33,16.50,11,3,2,"… The prototype was developed to provide an HMI concept for the setup of a remote-operation workplace to conduct research studies in the field of teleoperated driving within a variety of …","https://www.mdpi.com/2414-4088/5/5/26/pdf","https://scholar.google.com/scholar?q=related:EilDbzUX6roJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
